idx,symbol,datetime,date,setup_type,direction,score,rank_score,reasons,rsi,trend_strength,vol_z,body_pct,hour,dow,sweep_count_20,bsl_dist_atr,ssl_dist_atr,is_bsl_swept,is_ssl_swept,ob_remaining,selection_policy
2453,UNKNOWN,2025-06-27 01:00:00,2025-06-27,LIQUIDITY_SWEEP,Long,92.2297,92.2297,sweep_low;reclaim,47.7419,-0.6308,2.486,0.3989,1,4,0,4.897,1.0422,False,False,0.1755,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
2504,UNKNOWN,2025-06-27 13:45:00,2025-06-27,LIQUIDITY_SWEEP,Long,92.6858,92.6858,sweep_low;reclaim,43.2095,-0.5634,2.6418,0.0505,13,4,3,1.8022,1.0297,False,False,0.3636,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
2626,UNKNOWN,2025-06-28 20:15:00,2025-06-28,LIQUIDITY_SWEEP,Long,80.902,80.902,sweep_low;reclaim,45.3134,0.09,-0.1494,0.6442,20,5,1,4.4904,0.8614,False,False,0.161,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
2682,UNKNOWN,2025-06-29 10:15:00,2025-06-29,LIQUIDITY_SWEEP,Short,93.8019,93.8019,sweep_high;reclaim,91.1925,1.5012,3.6465,0.0669,10,6,4,0.2573,7.4975,False,False,0.9668,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
2793,UNKNOWN,2025-06-30 14:00:00,2025-06-30,LIQUIDITY_SWEEP,Long,93.6108,93.6108,sweep_low;reclaim,45.935,-0.6766,4.6656,0.0379,14,0,2,2.3469,0.7487,False,False,0.2419,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
2862,UNKNOWN,2025-07-01 07:15:00,2025-07-01,LIQUIDITY_SWEEP,Long,91.1706,91.1706,sweep_low;reclaim,35.082,-1.2742,1.2461,0.0475,7,1,0,3.5653,1.1955,False,False,0.2511,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
2934,UNKNOWN,2025-07-02 01:15:00,2025-07-02,LIQUIDITY_SWEEP,Long,93.173,93.173,sweep_low;reclaim,45.071,-1.2696,1.0543,0.3427,1,2,1,2.415,1.3409,False,False,0.357,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
3076,UNKNOWN,2025-07-03 12:45:00,2025-07-03,LIQUIDITY_SWEEP,Long,85.1883,85.1883,sweep_low;reclaim,31.1576,0.6101,0.8811,0.4662,12,3,3,3.8148,1.2122,False,False,0.2411,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
3178,UNKNOWN,2025-07-04 14:15:00,2025-07-04,LIQUIDITY_SWEEP,Long,92.429,92.429,sweep_low;reclaim,26.8608,-1.1994,4.5218,0.4716,14,4,2,4.3814,1.8899,False,False,0.3014,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
3227,UNKNOWN,2025-07-05 02:30:00,2025-07-05,LIQUIDITY_SWEEP,Long,81.9417,81.9417,sweep_low;reclaim,43.0241,-0.5157,-0.5033,0.7036,2,5,1,2.2947,1.6187,False,False,0.4136,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
3353,UNKNOWN,2025-07-06 10:00:00,2025-07-06,LIQUIDITY_SWEEP,Long,89.4479,89.4479,sweep_low;reclaim,30.9925,-0.5928,2.6225,0.5288,10,6,0,4.7607,1.5129,False,False,0.2411,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
3462,UNKNOWN,2025-07-07 13:15:00,2025-07-07,LIQUIDITY_SWEEP,Long,95.9117,95.9117,sweep_low;reclaim,28.8018,-0.97,2.5819,0.3326,13,0,2,3.8492,1.2186,False,False,0.2405,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
3560,UNKNOWN,2025-07-08 13:45:00,2025-07-08,LIQUIDITY_SWEEP,Short,88.9361,88.9361,sweep_high;reclaim,67.5396,1.3389,3.3127,0.0193,13,1,4,0.0409,4.4477,False,False,0.9909,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
3659,UNKNOWN,2025-07-09 14:30:00,2025-07-09,LIQUIDITY_SWEEP,Long,85.4819,85.4819,sweep_low;reclaim,43.346,0.5764,5.5423,0.47,14,2,0,3.8314,0.434,False,False,0.1017,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
3751,UNKNOWN,2025-07-10 13:30:00,2025-07-10,LIQUIDITY_SWEEP,Long,87.0725,87.0725,sweep_low;reclaim,42.4783,0.1398,0.6936,0.4093,13,3,3,3.2996,0.3549,False,False,0.0971,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
3816,UNKNOWN,2025-07-11 05:45:00,2025-07-11,LIQUIDITY_SWEEP,Short,90.1933,90.1933,sweep_high;reclaim,78.0487,3.5143,1.5473,0.1601,5,4,3,0.8038,6.9475,False,False,0.8963,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
3940,UNKNOWN,2025-07-12 12:45:00,2025-07-12,LIQUIDITY_SWEEP,Long,86.2469,86.2469,sweep_low;reclaim,34.9145,0.1411,1.0781,0.1516,12,5,4,3.4041,0.5428,False,False,0.1375,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
4063,UNKNOWN,2025-07-13 19:30:00,2025-07-13,LIQUIDITY_SWEEP,Short,87.1192,87.1192,sweep_high;reclaim,59.3157,1.3596,0.9418,0.3418,19,6,2,1.0078,2.9644,False,False,0.7463,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
4135,UNKNOWN,2025-07-14 13:30:00,2025-07-14,LIQUIDITY_SWEEP,Long,88.7327,88.7327,sweep_low;reclaim,49.8375,1.64,1.388,0.1579,13,0,1,3.0666,1.4741,False,False,0.3246,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
4193,UNKNOWN,2025-07-15 04:00:00,2025-07-15,LIQUIDITY_SWEEP,Long,91.2027,91.2027,sweep_low;reclaim,17.6793,-1.5235,2.797,0.1866,4,1,2,5.0922,0.2405,False,False,0.0451,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
4333,UNKNOWN,2025-07-16 15:00:00,2025-07-16,LIQUIDITY_SWEEP,Short,91.3045,91.3045,sweep_high;reclaim,54.0122,0.6758,4.0287,0.1212,15,2,4,0.4256,2.2972,False,False,0.8437,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
