idx,datetime,date,setup_type,direction,score,rank_score,reasons,rsi,trend_strength,vol_z,body_pct,hour,dow,tier,regime,tier_weight,regime_factor,session_factor,win_prob_model,expected_rr_model,model_ev,decision_score,gate_passed,gate_reason,gate_size_penalty,cluster_score,size_scale,selection_policy,opened_at,closed_at,entry_mode,entry,initial_sl,final_sl,tp1,tp2,tp3,exit_price,exit_reason,unit_raw_pnl_r,unit_pnl_r,cost_r,pnl_r,bars_held,entry_i,exit_i,tp1_real_touch,tp2_real_touch,tp3_real_touch,estimated_rr,expected_value,realized_ev,v56_5_stable,exit_policy,win_prob
13782,2025-10-23 01:15:00,2025-10-23,LIQUIDITY_SWEEP,Short,82.5287,82.5287,sweep_high;reclaim,67.7931,-0.2962,1.0506,0.2214,1,3,1,range,1.0,1.08,1.05,0.6109734195253713,1.82,0.8019492406153947,84.5287,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-10-23 01:30:00,2025-10-23 03:00:00,NEXT_BAR_OPEN_REALISTIC,108155.9,108469.26,108469.26,107842.54,107591.852,107278.492,108469.26,SL,-1.0,-1.07,0.07,-1.07,6,13783,13789,False,False,False,1.0,0.801949,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6109734195253713
13928,2025-10-24 13:45:00,2025-10-24,LIQUIDITY_SWEEP,Long,85.3911,85.3911,sweep_low;reclaim,47.2018,0.4339,1.7463,0.4449,13,4,1,mixed,1.0,1.02,1.05,0.6185350985788427,1.82,0.7541960834306944,87.3911,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-10-24 14:00:00,2025-10-24 14:45:00,NEXT_BAR_OPEN_REALISTIC,110884.6,110564.74857143,110564.74857143,111204.45142857,111460.33257143,111780.184,110564.74857143,SL,-1.0,-1.07,0.07,-1.07,3,13929,13932,False,False,False,1.0,0.754196,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6185350985788427
13999,2025-10-25 07:30:00,2025-10-25,LIQUIDITY_SWEEP,Short,86.4968,86.4968,sweep_high;reclaim,66.1426,1.1731,0.0739,0.3029,7,5,1,trend,1.0,0.92,1.05,0.6129798344386345,1.82,0.6206719409618866,88.4968,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-10-25 07:45:00,2025-10-25 08:45:00,NEXT_BAR_OPEN_REALISTIC,111481.5,111760.20375,111760.20375,111202.79625,110979.83325,110701.1295,111760.20375,SL,-1.0,-1.07,0.07,-1.07,4,14000,14004,False,False,False,1.0,0.620672,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6129798344386345
14103,2025-10-26 09:30:00,2025-10-26,LIQUIDITY_SWEEP,Short,89.3446,89.3446,sweep_high;reclaim,70.7189,0.7587,3.837,0.5736,9,6,1,mixed,1.0,1.02,1.05,0.627608001082194,1.82,0.7809540689516281,91.3446,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-10-26 09:45:00,2025-10-26 11:15:00,NEXT_BAR_OPEN_REALISTIC,112277.7,112558.3945,112558.3945,111997.0055,111772.4499,111491.7554,112558.3945,SL,-1.0,-1.07,0.07,-1.07,6,14104,14110,False,False,False,1.0,0.780954,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.627608001082194
14189,2025-10-27 07:00:00,2025-10-27,LIQUIDITY_SWEEP,Short,95.7282,95.7282,sweep_high;reclaim,77.6475,2.5319,2.4316,0.3099,7,0,1,trend,1.0,0.92,1.05,0.6274046005735916,1.82,0.6604571769340344,97.7282,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-10-27 07:15:00,2025-10-27 08:45:00,NEXT_BAR_OPEN_REALISTIC,115832.4,116121.98125,115687.609375,115542.81875,115311.15375,115021.5725,115021.5725,TP3,1.82,1.75,0.07,1.75,6,14190,14196,True,True,True,2.8,0.660457,1.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6274046005735916
14293,2025-10-28 09:00:00,2025-10-28,LIQUIDITY_SWEEP,Short,85.83,85.83,sweep_high;reclaim,77.3905,-0.3777,0.4128,0.1599,9,1,1,mixed,1.0,1.02,1.05,0.602089972082069,1.82,0.7056957874638798,87.83,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-10-28 09:15:00,2025-10-28 11:30:00,NEXT_BAR_OPEN_REALISTIC,114318.0,114603.795,114603.795,114032.205,113803.569,113517.774,114603.795,SL,-1.0,-1.07,0.07,-1.07,9,14294,14303,False,False,False,1.0,0.705696,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.602089972082069
14385,2025-10-29 08:00:00,2025-10-29,LIQUIDITY_SWEEP,Short,83.9695,83.9695,sweep_high;reclaim,66.7368,-0.3751,0.2622,0.7673,8,2,1,mixed,1.0,1.02,1.05,0.6063022522527896,1.82,0.7181187283889721,85.9695,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-10-29 08:15:00,2025-10-29 10:30:00,NEXT_BAR_OPEN_REALISTIC,113272.9,113556.08225,113131.308875,112989.71775,112763.17195,112479.9897,113131.308875,BE_AFTER_TP1,0.98,0.91,0.07,0.91,9,14386,14395,True,True,False,0.5,0.718119,0.91,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6063022522527896
14449,2025-10-30 00:00:00,2025-10-30,LIQUIDITY_SWEEP,Long,84.12,84.12,sweep_low;reclaim,24.9188,-1.7796,0.0672,0.2647,0,3,1,trend,1.0,0.92,1.05,0.6062144337802725,1.82,0.6020121540980454,86.12,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-10-30 00:15:00,2025-10-30 02:15:00,NEXT_BAR_OPEN_REALISTIC,110104.5,109829.2385,110242.13075,110379.7615,110599.9707,110875.2322,110875.2322,TP3,1.82,1.75,0.07,1.75,8,14450,14458,True,True,True,2.8,0.602012,1.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6062144337802725
14593,2025-10-31 12:00:00,2025-10-31,LIQUIDITY_SWEEP,Short,84.5183,84.5183,sweep_high;reclaim,56.4448,0.9508,0.3312,0.4475,12,4,1,trend,1.0,0.92,1.05,0.6163212682994512,1.82,0.6298880165220824,86.5183,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-10-31 12:15:00,2025-10-31 13:00:00,NEXT_BAR_OPEN_REALISTIC,110115.2,110399.10285714,109973.24857143,109831.29714286,109604.17485714,109320.272,109973.24857143,BE_AFTER_TP1,0.98,0.91,0.07,0.91,3,14594,14597,True,True,False,0.5,0.629888,0.91,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6163212682994512
14647,2025-11-01 01:30:00,2025-11-01,LIQUIDITY_SWEEP,Short,85.7236,85.7236,sweep_high;reclaim,54.9613,0.1164,-0.5297,0.3964,1,5,1,range,1.0,1.08,1.05,0.6193577876151142,1.82,0.827637938318196,87.7236,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-11-01 01:45:00,2025-11-01 02:45:00,NEXT_BAR_OPEN_REALISTIC,109776.0,110050.43975,109734.8340375,109501.56025,109282.00845,109007.5687,109734.8340375,BE_AFTER_TP1,0.35,0.28,0.07,0.28,4,14648,14652,True,False,False,0.15,0.827638,0.28,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6193577876151142
14802,2025-11-02 16:15:00,2025-11-02,LIQUIDITY_SWEEP,Long,85.2649,85.2649,sweep_low;reclaim,33.7624,-0.234,1.5003,0.6568,16,6,1,range,1.0,1.08,1.05,0.6182198777581737,1.82,0.8241515190657134,87.2649,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-11-02 16:30:00,2025-11-02 22:30:00,NEXT_BAR_OPEN_REALISTIC,110027.3,109752.23175,109752.23175,110302.36825,110522.42285,110797.4911,109752.23175,SL,-1.0,-1.07,0.07,-1.07,24,14803,14827,False,False,False,1.0,0.824152,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6182198777581737
14895,2025-11-03 15:30:00,2025-11-03,LIQUIDITY_SWEEP,Long,88.4424,88.4424,sweep_low;reclaim,25.9878,-0.7743,6.4125,0.127,15,0,1,mixed,1.0,1.02,1.05,0.6185134204213787,1.82,0.7541321497751385,90.4424,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-11-03 15:45:00,2025-11-03 17:15:00,NEXT_BAR_OPEN_REALISTIC,106063.1,105626.74571429,106281.27714286,106499.45428571,106848.53771429,107284.892,107284.892,TP3,1.82,1.75,0.07,1.75,6,14896,14902,True,True,True,2.8,0.754132,1.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6185134204213787
14987,2025-11-04 14:30:00,2025-11-04,LIQUIDITY_SWEEP,Long,94.8366,94.8366,sweep_low;reclaim,44.319,-1.5849,3.7379,0.1447,14,1,1,trend,1.0,0.92,1.05,0.6258764076957254,1.82,0.6562422375937342,96.8366,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-11-04 14:45:00,2025-11-04 15:00:00,NEXT_BAR_OPEN_REALISTIC,103886.4,103563.51428571,104047.84285714,104209.28571429,104467.59428571,104790.48,104790.48,TP3,1.82,1.75,0.07,1.75,1,14988,14989,True,True,True,2.8,0.656242,1.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6258764076957254
15003,2025-11-04 18:30:00,2025-11-04,LIQUIDITY_SWEEP,Long,91.8461,91.8461,sweep_low;reclaim,20.3776,-1.6839,2.8251,0.4505,18,1,1,trend,1.0,0.92,1.05,0.6260277529699868,1.82,0.6566596660215802,93.8461,True,STRUCTURE_OVERRIDE,1.0,0.5,0.9,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-11-04 18:45:00,2025-11-04 19:30:00,NEXT_BAR_OPEN_REALISTIC,101233.6,100667.74285714,100667.74285714,101799.45714286,102252.14285714,102818.0,100667.74285714,SL,-1.0,-1.07,0.07,-0.963,3,15004,15007,False,False,False,1.0,0.65666,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6260277529699868
15089,2025-11-05 16:00:00,2025-11-05,LIQUIDITY_SWEEP,Short,80.562,80.562,sweep_high;reclaim,60.3211,0.9445,-0.3597,0.7123,16,2,1,trend,1.0,0.92,1.05,0.6052615439431729,1.82,0.5993839695805443,82.562,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-11-05 16:15:00,2025-11-05 17:00:00,NEXT_BAR_OPEN_REALISTIC,103265.9,103673.85428571,103673.85428571,102857.94571429,102531.58228571,102123.628,103673.85428571,SL,-1.0,-1.07,0.07,-1.07,3,15090,15093,False,False,False,1.0,0.599384,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6052615439431729
15181,2025-11-06 15:00:00,2025-11-06,LIQUIDITY_SWEEP,Long,85.1962,85.1962,sweep_low;reclaim,36.0647,-0.4293,4.4771,0.1754,15,3,1,mixed,1.0,1.02,1.05,0.6098677930727737,1.82,0.7286342926860858,87.1962,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-11-06 15:15:00,2025-11-06 16:00:00,NEXT_BAR_OPEN_REALISTIC,102185.1,101790.18571429,102382.55714286,102580.01428571,102895.94571429,103290.86,102382.55714286,BE_AFTER_TP1,0.98,0.91,0.07,0.91,3,15182,15185,True,True,False,0.5,0.728634,0.91,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6098677930727737
15305,2025-11-07 22:00:00,2025-11-07,LIQUIDITY_SWEEP,Short,84.8863,84.8863,sweep_high;reclaim,69.7432,2.0396,1.2591,0.4131,22,4,1,trend,1.0,0.92,1.05,0.6084639520288062,1.82,0.608216595369691,86.8863,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-11-07 22:15:00,2025-11-08 00:30:00,NEXT_BAR_OPEN_REALISTIC,103646.5,103959.72857143,103489.88571429,103333.27142857,103082.68857143,102769.46,102769.46,TP3,1.82,1.75,0.07,1.75,9,15306,15315,True,True,True,2.8,0.608217,1.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6084639520288062
