idx,datetime,date,setup_type,direction,score,rank_score,reasons,rsi,trend_strength,vol_z,body_pct,hour,dow,sweep_count_20,bsl_dist_atr,ssl_dist_atr,is_bsl_swept,is_ssl_swept,ob_remaining,tier,regime,tier_weight,regime_factor,session_factor,win_prob_model,expected_rr_model,model_ev,liquidity_penalty,feature_bonus,decision_score,bucket_ev,gate_passed,gate_reason,gate_size_penalty,gate_liquidity_penalty,cluster_score,size_scale,selection_policy,opened_at,closed_at,entry_mode,entry,initial_sl,final_sl,tp1,tp2,tp3,exit_price,exit_reason,unit_raw_pnl_r,unit_pnl_r,cost_r,pnl_r,bars_held,entry_i,exit_i,tp1_real_touch,tp2_real_touch,tp3_real_touch,estimated_rr,expected_value,realized_ev,v56_5_stable,exit_policy,win_prob
289,2026-04-15 07:00:00,2026-04-15,LIQUIDITY_SWEEP,Long,78.8711,78.8711,sweep_low;reclaim,32.5531,-0.906,-0.3517,0.107,7,2,1,5.1422,0.3311,False,False,0.0605,1,trend,1.0,0.92,1.05,0.5896360085431193,1.82,0.5562868678829482,0.0,0.35126955000028937,81.2223695500003,0.81,True,STRUCTURE_OVERRIDE,1.0,0.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-04-15 07:15:00,2026-04-15 08:00:00,NEXT_BAR_OPEN_REALISTIC,73872.3,73687.61925,73687.61925,74056.98075,74204.72535,74389.4061,73687.61925,SL,-1.0,-1.07,0.07,-1.07,3,290,293,False,False,False,1.0,0.556287,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.5896360085431193
358,2026-04-16 00:15:00,2026-04-16,LIQUIDITY_SWEEP,Long,78.7985,78.7985,sweep_low;reclaim,42.2067,0.7933,0.1386,0.004,0,3,1,3.5746,0.4077,False,False,0.1024,1,mixed,1.0,1.02,1.05,0.589376683206083,1.82,0.6682015016450444,0.0,0.35126955000028937,81.1497695500003,0.6682015016450444,True,STRUCTURE_OVERRIDE,1.0,0.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-04-16 00:30:00,2026-04-16 01:15:00,NEXT_BAR_OPEN_REALISTIC,74564.8,74372.13142857,74593.70028571,74757.46857143,74911.60342857,75104.272,74593.70028571,BE_AFTER_TP1,0.35,0.28,0.07,0.28,3,359,362,True,False,False,0.15,0.668202,0.28,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.589376683206083
460,2026-04-17 01:45:00,2026-04-17,LIQUIDITY_SWEEP,Long,80.7412,80.7412,sweep_low;reclaim,39.1874,0.4666,-0.163,0.0767,1,4,4,3.0421,0.7287,False,False,0.1933,1,mixed,1.0,1.02,1.05,0.5961011962727136,1.82,0.6880335700714124,0.0,0.35126955000028937,83.0924695500003,0.4485,True,STRUCTURE_OVERRIDE,1.0,0.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-04-17 02:00:00,2026-04-17 05:00:00,NEXT_BAR_OPEN_REALISTIC,74707.7,74520.931,74520.931,74894.469,75043.8842,75230.6532,74520.931,SL,-1.0,-1.07,0.07,-1.07,12,461,473,False,False,False,1.0,0.688034,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.5961011962727136
657,2026-04-19 03:00:00,2026-04-19,LIQUIDITY_SWEEP,Long,81.6675,81.6675,sweep_low;reclaim,40.8767,-1.0721,0.2184,0.2402,3,6,0,2.1489,0.8857,False,False,0.2919,1,trend,1.0,0.92,1.05,0.608525253134928,1.82,0.6083856711765077,0.0,0.35126955000028937,84.0187695500003,0.4407,True,STRUCTURE_OVERRIDE,1.0,0.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-04-19 03:15:00,2026-04-19 04:30:00,NEXT_BAR_OPEN_REALISTIC,75496.0,75307.25975,75524.3110375,75684.74025,75835.73245,76024.4727,75524.3110375,BE_AFTER_TP1,0.35,0.28,0.07,0.28,5,658,663,True,False,False,0.15,0.608386,0.28,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.608525253134928
670,2026-04-19 06:15:00,2026-04-19,LIQUIDITY_SWEEP,Long,80.0522,80.0522,sweep_low;reclaim,46.0334,-0.9073,0.281,0.0848,6,6,0,2.5027,0.3302,False,False,0.1165,1,trend,1.0,0.92,1.05,0.5937672253350695,1.82,0.567681259541162,0.0,0.35126955000028937,82.4034695500003,0.4407,True,STRUCTURE_OVERRIDE,1.0,0.0,0.5,0.9,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-04-19 06:30:00,2026-04-19 07:15:00,NEXT_BAR_OPEN_REALISTIC,75364.5,75176.08875,75176.08875,75552.91125,75703.64025,75892.0515,75176.08875,SL,-1.0,-1.07,0.07,-0.963,3,671,674,False,False,False,1.0,0.567681,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.5937672253350695
741,2026-04-20 00:00:00,2026-04-20,LIQUIDITY_SWEEP,Long,85.4008,85.4008,sweep_low;reclaim,36.329,-1.6274,2.5058,0.445,0,0,0,3.64,1.0225,False,False,0.2193,1,trend,1.0,0.92,1.05,0.6099375861273337,1.82,0.6122810550495217,0.0,0.35126955000028937,87.7520695500003,0.4407,True,STRUCTURE_OVERRIDE,1.0,0.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-04-20 00:15:00,2026-04-20 01:30:00,NEXT_BAR_OPEN_REALISTIC,73994.7,73764.28285714,74109.90857143,74225.11714286,74409.45085714,74639.868,74639.868,TP3,1.82,1.75,0.07,1.75,5,742,747,True,True,True,2.8,0.612281,1.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6099375861273337
817,2026-04-20 19:00:00,2026-04-20,LIQUIDITY_SWEEP,Short,79.3259,79.3259,sweep_high;reclaim,66.7285,1.2874,0.7824,0.461,19,0,1,0.4751,5.6537,False,False,0.9225,1,trend,1.0,0.92,1.05,0.5906119292012101,1.82,0.5589785741684419,0.0,0.35126955000028937,81.6771695500003,0.81,True,STRUCTURE_OVERRIDE,1.0,0.0,0.35,0.93,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-04-20 19:15:00,2026-04-20 23:15:00,NEXT_BAR_OPEN_REALISTIC,76299.6,76534.49142857,76182.15428571,76064.70857143,75876.79542857,75641.904,75641.904,TP3,1.82,1.75,0.07,1.6275,16,818,834,True,True,True,2.8,0.558979,1.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.5906119292012101
868,2026-04-21 07:45:00,2026-04-21,LIQUIDITY_SWEEP,Short,83.2707,83.2707,sweep_high;reclaim,71.8526,0.4986,-0.2616,0.4512,7,1,2,1.2732,3.4694,False,False,0.7315,1,mixed,1.0,1.02,1.05,0.6130175794430581,1.82,0.737923705645056,0.0,0.35126955000028937,85.6219695500003,0.4485,True,STRUCTURE_OVERRIDE,1.0,0.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-04-21 08:00:00,2026-04-21 08:45:00,NEXT_BAR_OPEN_REALISTIC,76050.0,76240.125,76240.125,75859.875,75707.775,75517.65,76240.125,SL,-1.0,-1.07,0.07,-1.07,3,869,872,False,False,False,1.0,0.737924,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6130175794430581
997,2026-04-22 16:00:00,2026-04-22,LIQUIDITY_SWEEP,Short,82.6484,82.6484,sweep_high;reclaim,74.4211,1.7662,0.638,0.2237,16,2,0,0.656,3.3992,False,False,0.8382,1,trend,1.0,0.92,1.05,0.5909031724271964,1.82,0.559781857934899,0.0,0.35126955000028937,84.99966955000029,0.4407,True,STRUCTURE_OVERRIDE,1.0,0.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-04-22 16:15:00,2026-04-22 18:45:00,NEXT_BAR_OPEN_REALISTIC,79157.1,79416.62,79027.34,78897.58,78689.964,78430.444,79027.34,BE_AFTER_TP1,0.98,0.91,0.07,0.91,10,998,1008,True,True,False,0.5,0.559782,0.91,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.5909031724271964
1030,2026-04-23 00:15:00,2026-04-23,LIQUIDITY_SWEEP,Long,94.1033,94.1033,sweep_low;reclaim,50.2676,0.0256,2.1732,0.608,0,3,1,2.4183,2.2362,False,False,0.4804,1,range,1.0,1.08,1.05,0.636634713862099,1.82,0.8805723671078081,0.0,0.35126955000028937,96.4545695500003,0.434,True,STRUCTURE_OVERRIDE,1.0,0.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-04-23 00:30:00,2026-04-23 01:15:00,NEXT_BAR_OPEN_REALISTIC,78406.3,78203.31714286,78203.31714286,78609.28285714,78771.66914286,78974.652,78203.31714286,SL,-1.0,-1.07,0.07,-1.07,3,1031,1034,False,False,False,1.0,0.880572,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.636634713862099
1100,2026-04-23 17:45:00,2026-04-23,LIQUIDITY_SWEEP,Long,85.8733,85.8733,sweep_low;reclaim,50.4376,-0.0522,3.1957,0.6594,17,3,0,2.3816,2.0711,False,False,0.4651,1,range,1.0,1.08,1.05,0.6197244981108039,1.82,0.8287614952717299,0.0,0.35126955000028937,88.2245695500003,0.434,True,STRUCTURE_OVERRIDE,1.0,0.0,0.5,0.9,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-04-23 18:00:00,2026-04-23 18:45:00,NEXT_BAR_OPEN_REALISTIC,77715.1,77401.76285714,77762.10057143,78028.43714286,78279.10685714,78592.444,77762.10057143,BE_AFTER_TP1,0.35,0.28,0.07,0.252,3,1101,1104,True,False,False,0.15,0.828761,0.28,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6197244981108039
1133,2026-04-24 02:00:00,2026-04-24,LIQUIDITY_SWEEP,Short,80.8057,80.8057,sweep_high;reclaim,52.7879,0.6055,0.5683,0.0672,2,4,0,0.5352,2.9731,False,False,0.8474,1,mixed,1.0,1.02,1.05,0.5963168347355816,1.82,0.6886695353388721,0.0,0.35126955000028937,83.1569695500003,0.4485,True,STRUCTURE_OVERRIDE,1.0,0.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-04-24 02:15:00,2026-04-24 03:15:00,NEXT_BAR_OPEN_REALISTIC,78349.9,78545.77475,78251.962625,78154.02525,77997.32545,77801.4507,77801.4507,TP3,1.82,1.75,0.07,1.75,4,1134,1138,True,True,True,2.8,0.68867,1.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.5963168347355816
1143,2026-04-24 04:30:00,2026-04-24,LIQUIDITY_SWEEP,Long,80.2534,80.2534,sweep_low;reclaim,36.4096,-0.159,-0.3815,0.2065,4,4,1,3.9945,0.4448,False,False,0.1002,1,range,1.0,1.08,1.05,0.6043258712916687,1.82,0.7815819505331181,0.0,0.35126955000028937,82.6046695500003,0.434,True,STRUCTURE_OVERRIDE,1.0,0.0,0.55,0.89,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-04-24 04:45:00,2026-04-24 07:15:00,NEXT_BAR_OPEN_REALISTIC,77604.8,77410.788,77701.806,77798.812,77954.0216,78148.0336,77701.806,BE_AFTER_TP1,0.98,0.91,0.07,0.8099,10,1144,1154,True,True,False,0.5,0.781582,0.91,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6043258712916687
